Team,,,Board 1,,Rtg,Price,Board 2,,Rtg,Price,Board 3,,Rtg,Price,Board 4,,Rtg,Price,Board 5,,Rtg,Price,Board 6,,Rtg,Price,Board 7,,Rtg,Price,Board 8,,Rtg,Price,Board 9,,Rtg,Price,Board 10,,Rtg,Price,Average,Team Total,,,,,,
The Devil Wears Praggnanandhaa,,,TRadjabaurusRex,,2169,"$1,503",root2,,2099,"$2,213",sexbucket,,1994,"$1,971",ascoliloko,,1938,"$2,136",Matt365,,1902,"$2,301",failingtheIB,,1836,"$2,161",Zeebo_the_clown,,1772,"$2,035",SrinivasBharathNK,,1685,"$1,774",lagar83,,1638,"$2,346",diecast_illusion,,1527,"$2,952",1846.9,"$21,392",,,,,,
Team 12,,,NathanielW,,2158,"$1,377",QEDemonstrandum,,2123,"$2,498",Mackjalek97,,1972,"$1,708",lopixl,,1884,"$1,490",ParkerInglett,,1877,"$2,001",PaulWithAnS,,1809,"$1,836",sephiroth87,,1785,"$2,191",prajwal_nm,,1728,"$2,290",snadyc,,1622,"$2,156",Itroun,,1328,$767,1828.6,"$18,314",,,,,,
Team 13,,,RexInvictus,,2166,"$1,468",M0r1,,2094,"$2,153",Ryzalis,,1990,"$1,923",Whelp10,,1901,"$1,692",et5555yang,,1894,"$2,205",wiktor-chomik,,1868,"$2,543",Rivimies,,1748,"$1,747",multiverse128,,1700,"$1,954",Barry_Forshaw,,1573,"$1,574",Skift2,,1569,"$3,392",1850.3,"$20,651",,,,,,
Team 14,,,Ringelnatz,,2154,"$1,331",Pauli314,,2002,"$1,070",pepehands321,,2000,"$2,043",palet_master,,1910,"$1,800",Gogmatel,,1891,"$2,169",Brainet,,1809,"$1,836",zbidwell,,1687,"$1,032",fzappa,,1703,"$1,990",eudaimoni4,,1623,"$2,168",chiasmata,,1550,"$3,196",1832.9,"$18,635",,,,,,
Team 15,,,Pushedpawn,,2163,"$1,434",roonster33,,2115,"$2,403",fgermuth,,2035,"$2,461",ErunaMe,,1941,"$2,172",thepaul1,,1851,"$1,689",Rskyoz,,1839,"$2,197",xandic,,1751,"$1,783",iqb,,1709,"$2,063",restausverkauf,,1624,"$2,179",dama_x_rey,,1462,"$2,235",1849,"$20,616",,,,,,
Team 16,,,Savvyd,,2253,"$2,474",deathmetalled,,2014,"$1,208",KS_Legion_Legionowo,,2026,"$2,354",RageEight,,1933,"$2,076",Andypandy123456789,,1917,"$2,479",wernhao,,1815,"$1,908",samkellett,,1756,"$1,843",ebisdikian,,1703,"$1,990",burni28,,1556,"$1,374",mmorrisohio,,1438,"$1,965",1841.1,"$19,671",,,,,,
Team 17,,,Shrekmated,,2266,"$2,622",louiegunz,,2085,"$2,046",far1108,,2013,"$2,199",ButterPecan,,1918,"$1,896",Cannonbait,,1871,"$1,929",pepepibote,,1799,"$1,716",TowerOfSolitude,,1756,"$1,843",LouisBuckland,,1645,"$1,300",jurica_c,,1611,"$2,025",greener255,,1452,"$2,122",1841.6,"$19,698",,,,,,
Team 18,,,Qudit,,2144,"$1,218",VicPez,,2077,"$1,950",gavalanche20,,1987,"$1,888",Seb32,,1945,"$2,220",Skackred,,1877,"$2,001",teg,,1818,"$1,944",egoncharik,,1789,"$2,239",verboseamoeba,,1693,"$1,870",KaiM_03,,1572,"$1,562",hoppycoldstar,,1542,"$3,112",1844.4,"$20,004",,,,,,
Team 19,,,okoros,,2317,"$3,185",oleksiial,,2062,"$1,771",invinci7777,,1984,"$1,852",Dtdeep,,1954,"$2,328",El_pollo_diablo,,1909,"$2,384",Hindemith,,1797,"$1,692",Marcosocha,,1759,"$1,879",frieslfrasl,,1728,"$2,290",Stormerofbarns,,1587,"$1,739",Marc999,,1339,$881,1843.6,"$20,001",,,,,,
Team 20,,,milanrad,,2153,"$1,320",atharsaleem,,2061,"$1,760",esKaayY,,1975,"$1,744",TalentedPoet,,1929,"$2,028",Wealth_And_Taste,,1911,"$2,408",imikacic,,1832,"$2,113",doughorn,,1740,"$1,652",kostasvl,,1696,"$1,906",mmgoo,,1655,"$2,546",NickR98,,1540,"$3,091",1849.2,"$20,568",,,,,,
Team 21,,,eie24,,2134,"$1,106",BloodyFox,,2136,"$2,650",phantom567459,,2004,"$2,091",MPC455,,1939,"$2,148",glbert,,1884,"$2,085",Scaredpeach,,1818,"$1,944",cheerstochess,,1751,"$1,783",SlowChess73,,1707,"$2,039",keithxm23,,1562,"$1,444",UpGoerFive,,1503,"$2,691",1843.8,"$19,981",,,,,,
Team 22,,,ginoux,,2210,"$1,977",nerja25390,,2099,"$2,213",mixxanber,,1984,"$1,852",NLance,,1907,"$1,764",patalanoc,,1858,"$1,773",RebelMe,,1804,"$1,776",piirimae,,1761,"$1,903",GAdam31,,1703,"$1,990",gorgol,,1584,"$1,704",rafaelnajera,,1439,"$1,976",1834.9,"$18,928",,,,,,
Team 23,,,FirstnameLastname,,2251,"$2,451",Flubbing,,2064,"$1,795",AlessandroGori,,2001,"$2,055",ajajajaj,,1928,"$2,016",zADAcLaY,,1861,"$1,809",Moccy,,1827,"$2,052",Thiagovisk,,1750,"$1,771",Yakruna30,,1671,"$1,607",Randomcello,,1606,"$1,965",SirPunto,,1464,"$2,257",1842.3,"$19,778",,,,,,
Team 24,,,nuagesgris,,2227,"$2,174",dave3,,2056,"$1,700",itsphong,,1976,"$1,756",DioBrando12345,,1893,"$1,597",JoseOMG,,1852,"$1,701",csoamesy95,,1865,"$2,508",Agood2inches,,1764,"$1,939",masedog91,,1719,"$2,183",Teo2491,,1568,"$1,515",Crazywane254,,1483,"$2,470",1840.3,"$19,543",,,,,,
Team 25,,,wookash_888,,2340,"$3,426",Radmankaruf,,2038,"$1,487",Chewbacca_Defense,,1998,"$2,019",Lupo_Jones,,1976,"$2,589",mekumcu,,1826,"$1,392",levier17,,1805,"$1,788",erv123,,1783,"$2,167",UncleVinny,,1718,"$2,171",mqll,,1572,"$1,562",wernervolkmann,,1375,"$1,265",1843.1,"$19,866",,,,,,
Team 26,,,SycoraxCirce,,2181,"$1,641",ATrueRavenclaw,,2043,"$1,546",captaincomeback,,1992,"$1,947",scvrf,,1948,"$2,256",Herzog51,,1861,"$1,809",SouzaMoraes,,1806,"$1,800",CornX,,1748,"$1,747",Birdsell,,1676,"$1,667",lepertoe,,1669,"$2,709",Outbox,,1534,"$3,027",1845.8,"$20,149",,,,,,
Team 27,,,tommeketoch,,2198,"$1,838",Potatomancer,,2034,"$1,440",ngducphu,,2019,"$2,271",ChewbakaTheRookie,,1919,"$1,908",ColdTehran,,1862,"$1,821",Daniel1802b,,1855,"$2,389",Tasunoro,,1768,"$1,987",joehan,,1679,"$1,703",mtkib,,1569,"$1,527",keeto,,1498,"$2,636",1840.1,"$19,520",,,,,,
Team 28,,,Silkthewanderer,,2152,"$1,309",Rcyx,,2081,"$1,998",Schackmacke,,1988,"$1,900",Forhavu,,1901,"$1,692",wizzywop,,1880,"$2,037",loungelizard,,1831,"$2,101",Haspelknecht,,1808,"$2,466",mojomoe,,1695,"$1,894",BarbarAusBielefeld,,1685,"$2,892",slvrdoc,,1417,"$1,729",1843.8,"$20,018",,,,,,
Team 29,,,AlexGaul,,2076,$486,x420noscope,,2137,"$2,662",KnightFury21,,1989,"$1,912",Meeklydim,,1930,"$2,040",Abolizer,,1892,"$2,181",fwcj68,,1802,"$1,752",Angrybird029,,1790,"$2,251",Constant1n,,1737,"$2,398",kamelstekspizza,,1551,"$1,316",jsettle1,,1421,"$1,774",1832.5,"$18,772",,,,,,
Team 30,,,Pendru,,2187,"$1,710",Sesquipedalism,,2129,"$2,568",Geigenzaehler,,2007,"$2,127",fookh,,1899,"$1,668",aloo_bhaloo,,1911,"$2,408",apdent42,,1838,"$2,185",jackaardvark,,1772,"$2,035",Highonpotnuse,,1729,"$2,302",LordPericulum,,1635,"$2,310",electricfalcon,,1372,"$1,232",1847.9,"$20,545",,,,,,
Team 31,,,Skims,,2242,"$2,348",Josue_Richard,,2102,"$2,249",RedzoneNova,,1980,"$1,804",FunkSoulBrother,,1901,"$1,692",rampichino,,1875,"$1,977",pedropablo72,,1801,"$1,740",ishallwooopyoass,,1794,"$2,299",LucaGaglia73,,1695,"$1,894",ryanthelion98,,1549,"$1,293",cinqued,,1445,"$2,043",1838.4,"$19,339",,,,,,
Team 32,,,Groger12,,2135,"$1,118",losttheplot,,2027,"$1,358",fhunfi,,1974,"$1,732",Jamougha,,1949,"$2,268",Davidc2214,,1895,"$2,217",Jamoke,,1832,"$2,113",Thooorin,,1754,"$1,819",heidigjr,,1756,"$2,623",SaucySailorJackTar,,1661,"$2,616",Eternal013,,1557,"$3,269",1854,"$21,133",,,,,,
Team 33,,,Fearlessking64,,2417,"$4,154",Artian12,,2084,"$2,034",lion88,,2023,"$2,318",flipiflapi,,1918,"$1,896",nvasquez,,1876,"$1,989",topspin15,,1832,"$2,113",JustChillJoe,,1846,"$2,909",MomoSapiens,,1685,"$1,774",Ross067,,1576,"$1,609",Afoolishmind,,1214,$200,1847.1,"$20,996",,,,,,
Team 34,,,ErinYu,,2275,"$2,724",mysonnevercallme,,2136,"$2,650",okei,,1970,"$1,684",adande1,,1939,"$2,148",colwem,,1868,"$1,893",jk1834,,1828,"$2,065",osoplayschess,,1812,"$2,513",Samuelsson22,,1737,"$2,398",Zher0,,1587,"$1,739",tchristianclub,,1373,"$1,243",1852.5,"$21,057",,,,,,
Team 35,,,Antisana,,2135,"$1,118",Brundd,,2135,"$2,638",mgold,,1956,"$1,518",WarGoblin,,1941,"$2,172",dkol,,1873,"$1,953",feskslo,,1801,"$1,740",BrandrokID,,1820,"$2,607",Hysth,,1722,"$2,219",ruip,,1645,"$2,428",mumblecoredumbledore,,1443,"$2,021",1847.1,"$20,414",,,,,,
Team 36,,,Zerque,,2172,"$1,537",mini_karpov,,2091,"$2,118",benellis3,,1963,"$1,601",BattleAxiom,,1936,"$2,112",AlexMorgenthau,,1874,"$1,965",wdhorton,,1815,"$1,908",vejen,,1724,"$1,462",Bebetter14,,1711,"$2,087",davegiltinan,,1628,"$2,227",PocketKnight39,,1505,"$2,713",1841.9,"$19,730",,,,,,
Team 37,,,ben622,,2184,"$1,676",Knoddel,,2073,"$1,903",Bitter_Cherry,,2019,"$2,271",alen111,,1954,"$2,328",fvafier,,1886,"$2,109",Midnightokar,,1818,"$1,944",twobits,,1836,"$2,794",Lyrurus,,1720,"$2,195",texasadam,,1613,"$2,049",Ferchosalgado,,1436,"$1,942",1853.9,"$21,211",,,,,,
Team 38,,,chatakkuma,,2151,"$1,297",texaspete09,,2066,"$1,819",Grizzzly1000,,2026,"$2,354",gmat20020,,1967,"$2,483",giziti,,1845,"$1,617",Ecelal,,1837,"$2,173",hazelchesster,,1767,"$1,975",freddy267t,,1714,"$2,123",gingersquirrelnuts,,1616,"$2,084",larius88,,1524,"$2,920",1851.3,"$20,845",,,,,,
Team 39,,,Fishmoro,,2198,"$1,838",mronemore,,2125,"$2,521",pic1991,,2001,"$2,055",sgis,,1945,"$2,220",lc91,,1879,"$2,025",aide23,,1822,"$1,992",alex-arsenault,,1774,"$2,059",kotoole,,1666,"$1,548",Ruslan_Shumilov,,1709,"$3,161",z0x,,1541,"$3,102",1866,"$22,521",,,,,,
"Mi Caissa, su Caissa",,,victormanolo,,2283,"$2,814",timothyha,,2035,"$1,452",ChessPriyome,,2015,"$2,223",scarff,,1938,"$2,136",izzie26,,1882,"$2,061",Rolihlahla,,1767,"$1,335",ssyx,,1739,"$1,640",Halgilde,,1663,"$1,512",Samuelglats,,1531,"$1,087",caodanny,,1508,"$2,746",1836.1,"$19,006",,,,,,
Team 41,,,CamLeslie,,2255,"$2,497",osrswoodcutting,,2134,"$2,627",O1189998819991197253,,2081,"$2,995",trex_47,,1892,"$1,585",plsletmewin,,1898,"$2,253",charliehorse55,,1816,"$1,920",lucasradaelli,,1796,"$2,323",SedNomini,,1650,"$1,359",badair,,1576,"$1,609",fulmarsky,,1366,"$1,167",1846.4,"$20,335",,,,,,
Team 42,,,IsaVulpes,,2235,"$2,267",zschif,,2106,"$2,296",shetoo,,1990,"$1,923",Rolfomania,,1938,"$2,136",cvillian,,1888,"$2,133",aarp995,,1816,"$1,920",Squire_Western,,1780,"$2,131",Rylor3000,,1712,"$2,099",jendrasek,,1702,"$3,084",B2C4G7,,1237,$200,1840.4,"$20,189",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
